Instance;Kích thước;BKS;Makespan (Best);Makespan (Avg);Makespan (Worst);RE_best (%);RE_avg (%);RE_worst (%);Time_avg (s);Time_total (s);OPT/Runs;Status
TA02;15x15;1244;1248;1248.00;1248;0.3215;0.3215;0.3215;3600.00;3600.00;0/1;NEAR
TA03;15x15;1218;1222;1222.00;1222;0.3284;0.3284;0.3284;3600.00;3600.00;0/1;NEAR
TA04;15x15;1175;1181;1181.00;1181;0.5106;0.5106;0.5106;3599.80;3599.80;0/1;NEAR
TA05;15x15;1224;1231;1231.00;1231;0.5719;0.5719;0.5719;3599.95;3599.95;0/1;NEAR
TA06;15x15;1238;1244;1244.00;1244;0.4847;0.4847;0.4847;3600.00;3600.00;0/1;NEAR
TA07;15x15;1227;1228;1228.00;1228;0.0815;0.0815;0.0815;3600.00;3600.00;0/1;NEAR
TA08;15x15;1217;1218;1218.00;1218;0.0822;0.0822;0.0822;3599.50;3599.50;0/1;NEAR
