Instance;Kích thước;BKS;Makespan (Best);Makespan (Avg);Makespan (Worst);RE_best (%);RE_avg (%);RE_worst (%);Time_avg (s);Time_total (s);OPT/Runs;Status
LA30;20x10;1355;1355;1355.00;1355;0.0000;0.0000;0.0000;6.37;127.35;20/20;OPT
LA31;30x10;1784;1784;1786.90;1813;0.0000;0.1626;1.6256;450.20;9003.95;18/20;OPT
LA32;30x10;1850;1850;1850.00;1850;0.0000;0.0000;0.0000;9.56;191.28;20/20;OPT
LA33;30x10;1719;1719;1719.00;1719;0.0000;0.0000;0.0000;32.53;650.51;20/20;OPT
LA34;30x10;1721;1721;1721.00;1721;0.0000;0.0000;0.0000;15.21;304.13;20/20;OPT
LA35;30x10;1888;1888;1888.00;1888;0.0000;0.0000;0.0000;21.86;437.12;20/20;OPT
LA36;15x15;1268;1268;1268.00;1268;0.0000;0.0000;0.0000;585.41;11708.19;20/20;OPT
